Frame Number, Date, Timestamp
1, 2022-02-17, 12:47:36.672518
2, 2022-02-17, 12:47:36.771523
3, 2022-02-17, 12:47:36.778519
4, 2022-02-17, 12:47:36.785522
5, 2022-02-17, 12:47:36.816532
6, 2022-02-17, 12:47:36.844517
7, 2022-02-17, 12:47:36.875518
8, 2022-02-17, 12:47:36.907518
9, 2022-02-17, 12:47:36.940532
10, 2022-02-17, 12:47:36.971517
11, 2022-02-17, 12:47:37.009543
12, 2022-02-17, 12:47:37.036519
13, 2022-02-17, 12:47:37.069539
14, 2022-02-17, 12:47:37.102521
15, 2022-02-17, 12:47:37.151521
16, 2022-02-17, 12:47:37.180521
17, 2022-02-17, 12:47:37.213523
18, 2022-02-17, 12:47:37.247530
19, 2022-02-17, 12:47:37.277522
20, 2022-02-17, 12:47:37.308520
21, 2022-02-17, 12:47:37.339523
22, 2022-02-17, 12:47:37.371519
23, 2022-02-17, 12:47:37.403517
24, 2022-02-17, 12:47:37.452525
25, 2022-02-17, 12:47:37.484519
26, 2022-02-17, 12:47:37.517530
27, 2022-02-17, 12:47:37.548522
28, 2022-02-17, 12:47:37.580524
29, 2022-02-17, 12:47:37.614519
30, 2022-02-17, 12:47:37.643519
31, 2022-02-17, 12:47:37.675520
32, 2022-02-17, 12:47:37.707517
33, 2022-02-17, 12:47:37.756520
34, 2022-02-17, 12:47:37.787522
35, 2022-02-17, 12:47:37.790537
36, 2022-02-17, 12:47:37.820524
37, 2022-02-17, 12:47:37.886520
38, 2022-02-17, 12:47:37.916521
39, 2022-02-17, 12:47:37.948520
40, 2022-02-17, 12:47:37.984539
41, 2022-02-17, 12:47:38.013531
42, 2022-02-17, 12:47:38.060521
43, 2022-02-17, 12:47:38.091521
44, 2022-02-17, 12:47:38.094520
45, 2022-02-17, 12:47:38.124520
46, 2022-02-17, 12:47:38.155521
47, 2022-02-17, 12:47:38.187520
48, 2022-02-17, 12:47:38.219520
49, 2022-02-17, 12:47:38.284529
50, 2022-02-17, 12:47:38.316521
51, 2022-02-17, 12:47:38.364522
52, 2022-02-17, 12:47:38.400526
53, 2022-02-17, 12:47:38.428520
54, 2022-02-17, 12:47:38.467520
55, 2022-02-17, 12:47:38.492522
56, 2022-02-17, 12:47:38.523522
57, 2022-02-17, 12:47:38.585526
58, 2022-02-17, 12:47:38.591523
59, 2022-02-17, 12:47:38.620695
60, 2022-02-17, 12:47:38.653682
61, 2022-02-17, 12:47:38.701681
62, 2022-02-17, 12:47:38.732685
63, 2022-02-17, 12:47:38.765684
64, 2022-02-17, 12:47:38.800681
65, 2022-02-17, 12:47:38.831683
66, 2022-02-17, 12:47:38.860686
67, 2022-02-17, 12:47:38.891679
68, 2022-02-17, 12:47:38.923681
69, 2022-02-17, 12:47:38.957694
70, 2022-02-17, 12:47:39.003677
71, 2022-02-17, 12:47:39.038685
72, 2022-02-17, 12:47:39.067680
73, 2022-02-17, 12:47:39.099680
74, 2022-02-17, 12:47:39.131680
75, 2022-02-17, 12:47:39.163680
76, 2022-02-17, 12:47:39.195686
77, 2022-02-17, 12:47:39.228681
78, 2022-02-17, 12:47:39.259680
79, 2022-02-17, 12:47:39.307679
80, 2022-02-17, 12:47:39.339680
81, 2022-02-17, 12:47:39.371679
82, 2022-02-17, 12:47:39.403679
83, 2022-02-17, 12:47:39.435678
84, 2022-02-17, 12:47:39.467679
85, 2022-02-17, 12:47:39.500680
86, 2022-02-17, 12:47:39.542679
87, 2022-02-17, 12:47:39.565682
88, 2022-02-17, 12:47:39.622679
89, 2022-02-17, 12:47:39.664686
90, 2022-02-17, 12:47:39.677683
91, 2022-02-17, 12:47:39.708679
92, 2022-02-17, 12:47:39.740684
93, 2022-02-17, 12:47:39.772681
94, 2022-02-17, 12:47:39.804681
95, 2022-02-17, 12:47:39.837685
96, 2022-02-17, 12:47:39.868682
97, 2022-02-17, 12:47:39.918683
98, 2022-02-17, 12:47:39.950686
99, 2022-02-17, 12:47:39.983686
100, 2022-02-17, 12:47:40.014707
101, 2022-02-17, 12:47:40.052681
102, 2022-02-17, 12:47:40.077692
103, 2022-02-17, 12:47:40.108682
104, 2022-02-17, 12:47:40.139680
105, 2022-02-17, 12:47:40.171678
106, 2022-02-17, 12:47:40.219679
107, 2022-02-17, 12:47:40.251679
108, 2022-02-17, 12:47:40.283680
109, 2022-02-17, 12:47:40.315680
110, 2022-02-17, 12:47:40.348681
111, 2022-02-17, 12:47:40.382680
112, 2022-02-17, 12:47:40.413681
113, 2022-02-17, 12:47:40.444684
114, 2022-02-17, 12:47:40.478681
115, 2022-02-17, 12:47:40.523681
116, 2022-02-17, 12:47:40.555680
117, 2022-02-17, 12:47:40.560687
118, 2022-02-17, 12:47:40.587679
119, 2022-02-17, 12:47:40.620682
120, 2022-02-17, 12:47:40.652685
121, 2022-02-17, 12:47:40.716680
122, 2022-02-17, 12:47:40.748681
123, 2022-02-17, 12:47:40.780698
124, 2022-02-17, 12:47:40.829686
125, 2022-02-17, 12:47:40.860691
126, 2022-02-17, 12:47:40.863681
127, 2022-02-17, 12:47:40.940680
128, 2022-02-17, 12:47:40.948682
129, 2022-02-17, 12:47:40.982692
130, 2022-02-17, 12:47:40.988681
131, 2022-02-17, 12:47:41.029681
132, 2022-02-17, 12:47:41.051678
133, 2022-02-17, 12:47:41.115680
134, 2022-02-17, 12:47:41.163681
135, 2022-02-17, 12:47:41.196682
136, 2022-02-17, 12:47:41.201682
137, 2022-02-17, 12:47:41.228681
138, 2022-02-17, 12:47:41.260681
139, 2022-02-17, 12:47:41.292686
140, 2022-02-17, 12:47:41.323684
141, 2022-02-17, 12:47:41.356680
142, 2022-02-17, 12:47:41.388680
143, 2022-02-17, 12:47:41.420687
144, 2022-02-17, 12:47:41.467680
145, 2022-02-17, 12:47:41.499680
146, 2022-02-17, 12:47:41.531680
147, 2022-02-17, 12:47:41.564681
148, 2022-02-17, 12:47:41.596687
149, 2022-02-17, 12:47:41.627681
150, 2022-02-17, 12:47:41.660684
151, 2022-02-17, 12:47:41.692682
152, 2022-02-17, 12:47:41.724685
153, 2022-02-17, 12:47:41.771684
154, 2022-02-17, 12:47:41.804686
155, 2022-02-17, 12:47:41.840686
156, 2022-02-17, 12:47:41.868686
157, 2022-02-17, 12:47:41.899684
158, 2022-02-17, 12:47:41.931682
159, 2022-02-17, 12:47:41.963684
160, 2022-02-17, 12:47:41.991389
161, 2022-02-17, 12:47:42.031712
162, 2022-02-17, 12:47:42.077712
163, 2022-02-17, 12:47:42.111713
164, 2022-02-17, 12:47:42.140710
165, 2022-02-17, 12:47:42.171706
166, 2022-02-17, 12:47:42.204316
167, 2022-02-17, 12:47:42.239318
168, 2022-02-17, 12:47:42.268315
169, 2022-02-17, 12:47:42.300314
170, 2022-02-17, 12:47:42.332314
171, 2022-02-17, 12:47:42.380314
172, 2022-02-17, 12:47:42.411091
173, 2022-02-17, 12:47:42.446634
174, 2022-02-17, 12:47:42.476635
175, 2022-02-17, 12:47:42.510633
176, 2022-02-17, 12:47:42.540635
177, 2022-02-17, 12:47:42.571631
178, 2022-02-17, 12:47:42.603631
179, 2022-02-17, 12:47:42.635630
180, 2022-02-17, 12:47:42.684635
181, 2022-02-17, 12:47:42.715631
182, 2022-02-17, 12:47:42.748634
183, 2022-02-17, 12:47:42.780640
184, 2022-02-17, 12:47:42.815637
185, 2022-02-17, 12:47:42.847651
186, 2022-02-17, 12:47:42.876635
187, 2022-02-17, 12:47:42.911687
188, 2022-02-17, 12:47:42.940637
189, 2022-02-17, 12:47:42.987632
190, 2022-02-17, 12:47:43.020638
191, 2022-02-17, 12:47:43.024658
192, 2022-02-17, 12:47:43.052634
193, 2022-02-17, 12:47:43.116633
194, 2022-02-17, 12:47:43.149634
195, 2022-02-17, 12:47:43.180635
196, 2022-02-17, 12:47:43.212651
197, 2022-02-17, 12:47:43.244635
198, 2022-02-17, 12:47:43.276644
199, 2022-02-17, 12:47:43.324635
200, 2022-02-17, 12:47:43.356638
201, 2022-02-17, 12:47:43.360637
202, 2022-02-17, 12:47:43.387632
203, 2022-02-17, 12:47:43.419632
204, 2022-02-17, 12:47:43.483635
205, 2022-02-17, 12:47:43.516639
